Arithmetics End
date = 2020-05-08, chg = 1.04%, profit = 1.04%, profitValue = 2901.27
synthetical7
date = 2020-05-06, chg = 1.57%, profit = 1.57%, profitValue = 2904.89
synthetical6
范围内无有效日期
synthetical5
范围内无有效日期
synthetical4
范围内无有效日期
synthetical3
4天期, maichu, date = 2020-04-13, stock = 300479, price = 14.98, rate = 1.00
4天期, maichu, date = 2020-04-13, stock = 002930, price = 14.25, rate = 1.00
4天期, mairu, date = 2020-04-07, stock = 600785, price = 14.80, rate = 0
4天期, mairu, date = 2020-04-07, stock = 600288, price = 11.30, rate = 0
4天期, mairu, date = 2020-04-07, stock = 002967, price = 36.02, rate = 0
4天期, mairu, date = 2020-04-07, stock = 603706, price = 15.84, rate = 0
4天期, mairu, date = 2020-04-07, stock = 300518, price = 20.84, rate = 0
4天期, mairu, date = 2020-04-07, stock = 300192, price = 16.88, rate = 0
4天期, mairu, date = 2020-04-07, stock = 300446, price = 13.44, rate = 0
4天期, mairu, date = 2020-04-07, stock = 300599, price = 12.64, rate = 0
4天期, mairu, date = 2020-04-07, stock = 300788, price = 41.70, rate = 0
4天期, mairu, date = 2020-04-07, stock = 002805, price = 12.26, rate = 0
4天期, mairu, date = 2020-04-07, stock = 002930, price = 15.27, rate = 1.0000000000000000
4天期, mairu, date = 2020-04-07, stock = 300479, price = 15.05, rate = 0.5000000000000000
4天期, maichu, date = 2020-04-09, stock = 603586, price = 16.84, rate = 1.00
4天期, maichu, date = 2020-04-09, stock = 603298, price = 11.80, rate = 1.00
4天期, mairu, date = 2020-04-02, stock = 603586, price = 16.95, rate = 1.0000000000000000
4天期, mairu, date = 2020-04-02, stock = 603298, price = 11.68, rate = 0.5000000000000000
4天期, mairu, date = 2020-03-30, stock = 603609, price = 11.93, rate = 0
4天期, mairu, date = 2020-03-27, stock = 603587, price = 21.58, rate = 0
4天期, maichu, date = 2020-03-31, stock = 603583, price = 39.85, rate = 1.00
4天期, maichu, date = 2020-03-31, stock = 002041, price = 12.09, rate = 1.00
4天期, mairu, date = 2020-03-25, stock = 300760, price = 253.88, rate = 0
4天期, mairu, date = 2020-03-25, stock = 002041, price = 10.22, rate = 1.0000000000000000
4天期, mairu, date = 2020-03-25, stock = 603583, price = 41.81, rate = 0.5000000000000000
4天期, mairu, date = 2020-03-24, stock = 603309, price = 15.91, rate = 0
4天期, maichu, date = 2020-03-26, stock = 002821, price = 174.61, rate = 1.00
