up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	highest_3_week	highest_4_week	chg
-0.013200	-0.007100	-0.010600	0.045100	0.045100	0.045100	0.045100	-0.027300
0.010400	0.006900	-0.017400	0.027600	0.027600	0.027600	0.027600	0.017500
0.034500	0.010200	0.017800	-0.024700	-0.024700	-0.024700	-0.024700	0.027600
-0.020000	-0.012400	0.014900	0.005500	0.005500	0.005500	0.005500	-0.030200
-0.027100	0.000200	-0.017300	0.020200	0.020200	0.020200	0.020200	-0.014700
0.020400	0.002900	-0.024700	-0.032700	-0.032700	-0.032700	-0.011100	0.020200
-0.029800	-0.057400	-0.027200	-0.045900	-0.044100	0.006300	0.041800	-0.032700
-0.105400	-0.075200	-0.060500	0.002100	0.003900	0.054300	0.089800	-0.048000
-0.076100	-0.061400	-0.081600	0.003000	0.004800	0.055200	0.090700	-0.000900
-0.074500	-0.094700	-0.062000	0.017900	0.044600	0.073900	0.103800	-0.013100
-0.078600	-0.045900	0.002100	0.001800	0.028500	0.067500	0.087700	0.016100
-0.066400	-0.018400	-0.017500	0.022300	0.072700	0.108200	0.108200	-0.020500
-0.030800	-0.029900	-0.016800	0.034700	0.085100	0.120600	0.120600	-0.012400
-0.028900	-0.015800	-0.031900	0.033700	0.084100	0.119600	0.119600	0.001000
0.017900	0.001800	0.022300	0.026700	0.056000	0.085900	0.085900	0.033700
-0.001900	0.018600	0.031000	0.030400	0.069400	0.089600	0.089600	-0.003700
0.013900	0.026300	0.025300	0.058800	0.094300	0.094300	0.110500	-0.004700
0.008500	0.007500	-0.026200	0.076600	0.112100	0.112100	0.128300	-0.017800
0.026600	-0.007100	-0.003400	0.057500	0.093000	0.093000	0.109200	0.019100
0.026700	0.030400	0.035100	0.029300	0.059200	0.059200	0.075400	0.033800
0.027700	0.032400	0.050200	0.041700	0.061900	0.061900	0.078100	-0.002700
0.058800	0.076600	0.057500	0.035500	0.035500	0.051700	0.051700	0.026400
0.073900	0.054800	0.021000	0.038200	0.038200	0.054400	0.054400	-0.002700
0.043200	0.009400	0.012100	0.049800	0.049800	0.066000	0.066000	-0.011600
0.029300	0.032000	0.005600	0.029900	0.029900	0.046100	0.046100	0.019900
0.041700	0.015300	0.018000	0.020200	0.020200	0.036400	0.036400	0.009700
0.035500	0.038200	0.049800	-0.001700	0.016200	0.016200	0.016200	0.020200
0.036500	0.048100	0.028200	-0.004100	0.017900	0.017900	0.017900	-0.001700
0.030900	0.011000	0.001300	0.013100	0.035100	0.035100	0.035100	-0.017200
0.010100	0.000400	-0.019800	0.014000	0.036000	0.036000	0.036000	-0.000900
-0.007500	-0.027700	-0.026000	0.021900	0.043900	0.043900	0.043900	-0.007900
-0.046300	-0.044600	-0.027400	0.062500	0.062500	0.062500	0.062500	-0.018600
-0.004100	0.013100	0.014000	0.022000	0.022000	0.022000	0.022000	0.040500
0.001000	0.001900	0.009800	0.034100	0.034100	0.034100	0.034100	-0.012100
0.003700	0.011600	0.030200	0.032300	0.032300	0.032300	0.032300	0.001800
0.015100	0.033700	-0.006800	0.028800	0.028800	0.028800	0.028800	0.003500
0.062500	0.022000	0.034100	-0.004200	-0.004200	-0.004200	-0.004200	0.028800
0.017800	0.029900	0.028100	0.000000	0.000000	0.000000	0.000000	-0.004200
