up_down_10	up_down_5	up_down_4	up_down_3	highest_1_week	highest_2_week	highest_3_week	highest_4_week	lowest_1_week	chg
0.056400	-0.006000	-0.013500	-0.010800	0.013700	0.019100	0.019100	0.019100	-0.007500	0.004800
0.042900	-0.006000	-0.003300	0.000100	0.011600	0.011600	0.011600	0.011600	-0.004800	0.007500
0.052000	0.001500	0.004900	0.017100	0.006800	0.006800	0.006800	0.006800	-0.000700	0.004800
0.027800	0.006300	0.018500	0.013700	0.005400	0.005400	0.005400	0.005400	0.000700	0.001400
0.021500	0.017800	0.013000	0.005500	0.006100	0.006100	0.006100	0.006100	0.005300	-0.000700
0.007700	0.013700	0.006200	0.001400	0.005400	0.005400	0.005400	0.005400	0.006000	0.000700
0.005600	0.011600	0.006800	0.005400	-0.004000	-0.004000	-0.004000	-0.004000	0.043300	0.005400
0.004300	0.002800	0.001400	0.002100	-0.000700	-0.000700	-0.000700	-0.000700	0.039300	-0.004000
0.007000	0.000700	0.001400	0.000700	-0.006000	-0.006000	-0.006000	-0.006000	0.038600	-0.000700
0.012500	-0.005300	-0.006000	-0.011400	0.000700	0.000700	0.000700	0.000700	0.031900	-0.006700
0.008400	-0.005300	-0.010700	-0.006700	-0.020700	-0.016400	-0.016400	-0.016400	0.032600	0.000700
-0.031700	-0.043300	-0.039300	-0.038600	0.016200	0.016200	0.016200	0.016200	-0.001500	-0.032600
-0.033700	-0.036500	-0.035800	-0.029100	0.013400	0.013400	0.013400	0.013400	0.001300	0.002800
-0.026000	-0.026700	-0.020000	-0.020700	0.004300	0.004300	0.004300	0.004300	0.010400	0.009100
-0.035700	-0.030400	-0.031100	0.001500	0.014700	0.014700	0.014700	0.014700	0.004100	-0.010400
-0.026600	-0.021300	0.011300	0.008500	0.004900	0.004900	0.004900	0.004900	0.013900	0.009800
-0.027100	0.016200	0.013400	0.004300	-0.003500	-0.003500	-0.003500	-0.003500	0.023700	0.004900
-0.026600	0.009900	0.000800	0.011200	-0.010400	-0.010400	-0.010400	-0.010400	0.023000	-0.003500
-0.036300	-0.009600	0.000800	-0.009000	-0.001400	-0.001400	-0.001400	-0.001400	0.020400	-0.010400
-0.034500	-0.004100	-0.013900	-0.018800	0.003500	0.003500	0.003500	0.003500	0.025500	-0.004900
-0.031700	-0.010400	-0.015300	-0.011800	-0.008400	-0.001100	-0.001100	-0.001100	0.029000	0.003500
-0.007500	-0.023700	-0.020200	-0.009800	-0.002800	0.007300	0.007300	0.007300	0.020600	-0.008400
-0.013100	-0.023000	-0.012600	-0.007700	-0.000500	0.010100	0.010100	0.010100	0.017800	-0.002800
-0.030000	-0.020400	-0.015500	-0.019000	0.017900	0.017900	0.017900	0.017900	0.010000	-0.007800
-0.029600	-0.025500	-0.029000	-0.020600	0.027900	0.027900	0.027900	0.027900	-0.006500	-0.010000
-0.032900	-0.022500	-0.014100	-0.011300	0.021400	0.021400	0.021400	0.021400	-0.000000	0.006500
-0.037800	-0.014100	-0.011300	-0.003500	0.021400	0.021400	0.021400	0.021400	-0.010800	0.000000
-0.023500	-0.000500	0.007300	0.017300	0.010600	0.010600	0.010600	0.036100	-0.000800	0.010800
-0.002500	0.017900	0.027900	0.021400	-0.001300	-0.001300	-0.001300	0.026200	0.009800	0.010600
-0.005300	0.020200	0.013700	0.013700	0.006400	0.006400	0.006400	0.033900	0.002100	-0.007700
-0.010900	0.011600	0.011600	0.000800	0.008500	0.008500	0.008500	0.036000	0.012600	-0.002100
-0.001800	0.012300	0.001500	-0.009100	0.007800	0.007800	0.007800	0.035300	0.018300	0.000700
0.008100	0.008600	-0.002000	0.005700	0.000700	0.000700	0.027500	0.028200	0.025400	0.007100
0.016600	-0.001300	0.006400	0.008500	-0.003500	-0.003500	0.027500	0.047000	0.027500	0.000700
0.023100	0.002900	0.005000	0.004300	-0.013900	0.001200	0.031000	0.050500	0.024000	-0.003500
-0.001000	-0.012600	-0.013300	-0.020400	0.003700	0.018800	0.048600	0.068100	0.006400	-0.017600
-0.006000	-0.018300	-0.025400	-0.026100	0.008700	0.023800	0.053600	0.073100	0.001400	-0.005000
-0.014600	-0.023200	-0.023900	-0.020400	0.006500	0.050700	0.051400	0.070900	0.003600	0.002200
-0.028800	-0.027500	-0.024000	-0.006400	0.010100	0.055000	0.074500	0.074500	0.000000	-0.003600
-0.011000	-0.013900	0.003700	0.008700	0.015100	0.044900	0.064400	0.064400	0.010100	0.010100
-0.016800	-0.004200	0.000800	-0.001400	0.023000	0.052800	0.072300	0.072300	0.002200	-0.007900
-0.019700	-0.001400	-0.003600	-0.000000	0.025200	0.055000	0.074500	0.074500	-0.008700	-0.002200
-0.016700	0.006500	0.010100	-0.000000	0.044200	0.044900	0.064400	0.064400	0.001400	0.010100
-0.018800	0.008700	-0.001400	0.006500	0.046300	0.065800	0.065800	0.065800	-0.012300	-0.001400
0.001200	0.015100	0.023000	0.025200	0.029800	0.049300	0.049300	0.049300	0.004200	0.016500
0.018800	0.023000	0.025200	0.015100	0.029800	0.049300	0.049300	0.049300	0.004200	0.000000
0.019600	0.021000	0.010900	0.012300	0.034000	0.053500	0.053500	0.053500	-0.012800	-0.004200
0.050700	0.044200	0.045600	0.029100	0.000700	0.020200	0.020200	0.020200	0.023300	0.033300
0.055000	0.046300	0.029800	0.029800	0.019500	0.019500	0.019500	0.019500	0.024000	0.000700
0.023700	0.008600	0.008600	0.012800	0.040700	0.040700	0.040700	0.040700	0.002800	-0.021200
0.039300	0.016300	0.020500	-0.012800	0.033000	0.033000	0.033000	0.033000	0.010500	0.007700
0.035200	0.014200	-0.019100	-0.019800	0.039300	0.039300	0.039300	0.039300	0.004200	-0.006300
0.020900	-0.023300	-0.024000	-0.002800	0.043500	0.043500	0.043500	0.043500	-0.004100	-0.004200
0.065800	0.019500	0.040700	0.033000	-0.026200	-0.026200	-0.026200	-0.024600	0.043600	0.043500
0.021700	0.013100	0.005400	0.011700	0.001400	0.001400	0.001400	0.003000	0.021600	-0.027600
0.023100	0.006800	0.013100	0.017300	-0.011100	-0.008200	-0.008200	0.012800	0.023000	0.001400
0.016200	0.002000	0.006200	-0.037300	0.002900	0.002900	0.008500	0.023900	0.011900	-0.011100
-0.019200	0.004100	-0.039400	-0.011800	0.005000	0.005000	0.014800	0.053300	0.009800	-0.002100
-0.024100	-0.043600	-0.016000	-0.017400	0.009200	0.009200	0.019000	0.066800	0.005600	-0.004200
-0.008500	-0.021600	-0.023000	-0.011900	0.014800	0.014800	0.024600	0.084900	-0.002100	-0.005600
-0.014100	-0.020900	-0.009800	-0.007700	0.012700	0.012700	0.033700	0.107500	0.012600	0.002100
0.004900	0.002900	0.005000	0.009200	-0.003500	0.005600	0.021000	0.116400	0.026700	0.012700
0.000700	-0.003400	0.000800	0.006400	0.004900	0.018200	0.056700	0.134100	0.018300	-0.008400
-0.037900	0.005700	0.011300	0.009200	-0.005600	0.013300	0.061100	0.131700	0.024400	0.004900
-0.015900	0.005700	0.003600	-0.009100	0.007000	0.018900	0.079200	0.137900	0.018800	-0.005600
-0.033500	-0.012600	-0.025300	-0.016900	0.023200	0.046300	0.120100	0.154100	0.002600	-0.016200
-0.023800	-0.026700	-0.018300	-0.023200	0.032300	0.047700	0.143100	0.161100	0.001200	-0.001400
-0.009500	-0.006100	-0.011000	-0.005400	0.024300	0.062800	0.140200	0.194700	0.013400	0.012200
-0.018700	-0.024400	-0.018800	-0.002600	0.037700	0.085500	0.156100	0.208100	-0.023700	-0.013400
0.012700	0.007000	0.023200	0.024600	0.011900	0.072200	0.130900	0.182300	0.002100	0.025800
0.008500	0.021100	0.022500	0.010300	0.025200	0.099000	0.133000	0.184400	-0.007100	-0.002100
0.005600	0.032300	0.020100	0.033500	0.015400	0.110800	0.128800	0.174600	0.002700	0.009800
0.018200	0.024300	0.037700	0.011900	0.038500	0.115900	0.170400	0.190800	0.006900	0.004200
0.006400	0.030800	0.005000	0.007100	0.054700	0.125300	0.177300	0.200000	-0.001400	-0.006900
0.013400	0.006400	0.008500	-0.001300	0.065800	0.124500	0.175900	0.198600	-0.016700	0.001400
0.046300	0.025200	0.015400	0.011200	0.073800	0.107800	0.159200	0.182200	-0.000000	0.016700
0.047700	0.015400	0.011200	0.018100	0.095400	0.113400	0.159200	0.182200	-0.027300	0.000000
0.062800	0.038500	0.045400	0.044000	0.077400	0.131900	0.152300	0.154900	-0.009300	0.027300
0.085500	0.054700	0.053300	0.036600	0.070600	0.122600	0.145300	0.145600	-0.012500	0.009300
0.072200	0.065800	0.049100	0.049100	0.058700	0.110100	0.132800	0.133100	-0.024700	0.012500
0.099000	0.073800	0.073800	0.046500	0.034000	0.085400	0.108400	0.108400	-0.021600	0.024700
0.110800	0.095400	0.068100	0.058800	0.018000	0.063800	0.086800	0.086800	-0.009300	0.021600
0.115900	0.077400	0.068100	0.055600	0.054500	0.074900	0.077500	0.077500	-0.001300	0.009300
0.125300	0.070600	0.058100	0.033400	0.052000	0.074700	0.075000	0.075000	0.001200	0.002500
0.124500	0.058700	0.034000	0.012400	0.051400	0.074100	0.074400	0.074400	0.001800	0.000600
0.106000	0.032200	0.010600	0.001300	0.053200	0.076200	0.076200	0.076200	-0.007400	-0.001800
0.113400	0.018000	0.008700	0.006200	0.045800	0.068800	0.068800	0.068800	-0.020600	0.007400
0.131900	0.054500	0.052000	0.051400	0.020400	0.023000	0.023000	0.023000	0.025200	0.045800
0.100400	0.029800	0.029200	0.031000	0.044900	0.045200	0.045200	0.045200	0.003000	-0.022200
0.084900	0.026200	0.028000	0.020600	0.047900	0.048200	0.048200	0.048200	-0.005400	-0.003000
0.065600	0.033400	0.026000	-0.019800	0.042800	0.042800	0.042800	0.042800	-0.010100	0.005400
0.054100	0.036100	-0.009700	0.012500	0.032700	0.032700	0.032700	0.032700	-0.017600	0.010100
0.074900	0.020400	0.042600	0.045600	0.002600	0.002600	0.002600	0.002600	0.037100	0.030100
0.074700	0.044900	0.047900	0.042500	0.000300	0.000300	0.000300	0.000300	0.039400	0.002300
