always	highest	bid	sell
0.079004	0.108741	0.029600	0.034000
0.114212	0.144920	0.029600	0.034000
0.079502	0.116502	0.014300	0.034000
0.077559	0.116502	0.014300	0.034000
0.085317	0.117240	0.027400	0.034000
0.095085	0.123088	0.027400	0.044900
0.100889	0.129040	0.027400	0.044900
0.136007	0.165057	0.027400	0.044900
0.129191	0.165057	0.027400	0.044900
0.122303	0.165057	0.027400	0.044900
0.108823	0.144983	0.033900	0.044900
0.102687	0.142632	0.034100	0.044900
0.123836	0.142632	0.034100	0.044900
0.093155	0.115174	0.003600	0.050300
0.112286	0.127322	0.003600	0.050300
0.142985	0.158437	0.003600	0.050300
0.089509	0.121572	0.034100	0.033000
0.057436	0.081487	0.034100	0.028600
0.078796	0.103333	0.034100	0.028600
0.043520	0.098755	0.028600	0.010500
-0.010232	0.039224	0.028600	0.010500
-0.000932	0.038289	0.028600	0.010500
-0.051488	-0.007387	-0.105400	-0.105400
-0.036217	0.002046	-0.074500	-0.105400
-0.055974	0.002046	-0.074500	-0.105400
-0.065999	0.002046	-0.074500	-0.105400
-0.071748	0.002046	-0.074500	-0.105400
-0.083282	0.002046	-0.074500	-0.105400
-0.086674	0.002046	-0.074500	-0.105400
-0.090967	0.002046	-0.074500	-0.105400
-0.101758	0.002046	-0.074500	-0.105400
-0.078983	0.002046	-0.074500	-0.105400
-0.066589	0.022354	-0.105400	0.026700
-0.069110	0.019593	-0.105400	0.026700
-0.044534	0.046511	-0.105400	0.027800
-0.020370	0.046511	-0.105400	0.027800
-0.048387	0.046511	-0.105400	0.027800
-0.011576	0.046511	-0.105400	0.027800
-0.001988	0.046511	-0.105400	0.027800
0.018172	0.046511	-0.105400	0.027800
-0.003685	0.046511	-0.105400	0.027800
0.012280	0.046511	-0.105400	0.027800
0.077434	0.085933	0.043200	0.041800
0.068922	0.077354	0.043200	0.041800
0.049040	0.061357	-0.074500	0.027800
0.074231	0.082705	0.043200	0.041800
0.083443	0.091990	0.043200	0.041800
0.062130	0.070509	0.043200	0.041800
0.065847	0.074255	0.043200	0.041800
0.100616	0.109298	0.043200	0.041800
0.101169	0.114537	0.043200	0.041800
0.069572	0.075528	0.043200	0.041800
0.101231	0.107363	0.043200	0.041800
0.122925	0.128728	0.043200	0.062900
0.112341	0.131784	0.043200	0.062900
0.100529	0.122796	0.043200	0.062900
0.100805	0.109885	-0.046300	0.062900
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
-1.000000	-1.000000	-1.000000	-1.000000
